product_category_name_english,total_revenue
health_beauty,1491397.7600000002
watches_gifts,1358845.5900000024
bed_bath_table,1327662.0200000023
sports_leisure,1205197.850000001
computers_accessories,1104362.0299999989
furniture_decor,955367.2199999995
housewares,823623.4999999998
cool_stuff,752702.2100000002
auto,714431.9499999998
garden_tools,625387.3099999997
toys,582218.1099999999
baby,506539.47999999986
perfumery,471766.76000000007
telephony,413871.9799999987
office_furniture,359171.61999999953
stationery,288342.4400000002
pet_shop,264442.6199999999
computers,253374.41000000003
musical_instruments,230579.09000000005
,228805.96000000005
small_appliances,218726.29999999993
electronics,214862.54999999984
fashion_bags_accessories,197052.24999999977
consoles_games,187551.1599999999
luggage_accessories,180577.27000000005
construction_tools_construction,169812.63
home_appliances_2,135945.04
home_construction,102212.32000000002
home_appliances,101179.42999999995
furniture_living_room,92597.41999999998
agro_industry_and_commerce,90808.77000000002
home_confort,73962.78
fixed_telephony,66526.20000000001
air_conditioning,62810.880000000005
kitchen_dining_laundry_garden_furniture,61333.19000000002
audio,58494.16
books_general_interest,57627.88000000002
small_appliances_home_oven_and_coffee,51830.369999999995
construction_tools_lights,49728.759999999995
industry_commerce_and_business,48109.560000000005
construction_tools_safety,45966.24
food,37649.99000000001
market_place,35188.63
costruction_tools_garden,31756.960000000006
fashion_shoes,30053.82
art,28912.989999999998
drinks,28846.34000000001
signaling_and_security,28120.83
furniture_bedroom,27742.359999999993
books_technical,23685.32
food_drink,21230.81
costruction_tools_tools,18155.42
fashion_male_clothing,13974.210000000001
fashion_underwear_beach,12419.059999999998
christmas_supplies,12079.84
tablets_printing_image,9140.68
cine_photo,8232.24
dvds_blu_ray,7889.990000000002
music,6973.59
furniture_mattress_and_upholstery,6548.530000000001
books_imported,5661.129999999999
party_supplies,5636.43
fashio_female_clothing,3535.8399999999997
fashion_sport,2736.7299999999996
la_cuisine,2690.87
arts_and_craftmanship,2184.1400000000003
diapers_and_hygiene,2141.27
flowers,1598.9099999999999
home_comfort_2,1194.44
cds_dvds_musicals,954.99
fashion_childrens_clothes,665.36
security_and_services,324.51
